시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
가평군,명장삼거리,Myeongjang Samgeori,239000836,44808.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6675,127.4835
가평군,묵안리,Mugan-ri,239000398,44309.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6034333,127.5329
가평군,묵안리,Mugan-ri,239000400,44308.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.60335,127.5329167
가평군,묵안리종점,Mugan-ri Bus Terminal ,239000399,44163.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.5966333,127.5397
가평군,미사1리회관,Misa 1-ri Community Center,239000346,44333.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7042833,127.5394833
가평군,미사1리회관,Misa 1-ri Community Center,239000349,44331.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7042833,127.5396167
가평군,미사2리회관,Misa 2-ri Community Center,239000348,44478.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7129333,127.5411
가평군,바하마,Bahama,239000620,44090.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7192667,127.4325167
가평군,바하마,Bahama,239000250,44091.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7194167,127.4325167
가평군,발전소,Power Plant,239000619,44081.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7227167,127.4222167
가평군,발전소,Power Plant ,239000249,44079.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7226833,127.4216667
가평군,방일리,Bang-il-ri,239000420,44294.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6232667,127.4951333
